Country,Location,Activity,Fatal Y/N,Species
USA,"Burkes Beach, Hilton Head, Beaufort County",Swimming,N,5' shark
AUSTRALIA,Quondong Beach,Spearfishing,N,Unknown
AUSTRALIA,Turncurry Beach,Surfing,Y,"White shark, 4.5 m"
USA,"Kanaha Beach Park, Maui",Kite Foiling,N,5 to 8-ff tiger shark
USA,"Daytona Beach Shores, Volusia County",Wading,N,Unknown
USA,"Marine Corps Base, Oahu",Surfing,N,5.5 ft shark
JAMAICA,"Little Bay, Little London",Spearfishing,Y,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Vero Beach, Indian River County",Boggie boarding,N,Unknown
FRENCH POLYNESIA,Tautira,Canoeing,N,Unknown
NEW CALEDONIA,Nouville,Stand Up Paddleboarding,Y,Unknown
USA,Kukio Bay,Swimming,N,Tiger shark
AUSTRALIA,Karratha,,N,Unknown
USA,Outer Banks,Tagging sharks,N,"Mako shark, 4 juvenile"
SOUTH AFRICA,Mdloti,Spearfishing,N,1.3m shark
SOUTH AFRICA,Chintsa,Body boarding,Y,White shark
USA,"Key Biscayne, Miami-Dade County",Swimming,N,Unknown
USA,"Vero Beach, Indian River County",,N,Unknown
AUSTRALIA,Near Coral Bay,Spearfishing,N,"Whaler or bull shark, 2m"
FRENCH POLYNESIA,Ua Pou,Swimming,N,Unknown
USA,Indian River County,,N,3' to 5' shark
USA,"Fort Lauderdale, Broward County",Swimming,N,
USA,"Miami Beach, Miami-Dade County",Body surfing,N,Unknown
AUSTRALIA,Yallingup,Paddle boarding,N,"Blacktip whaler,      Carcharhinus tilstoni, 2m"
USA,"Juno Beach, Palm Beach County",Wading,N,"Blacktip shark, 6'"
NEW CALEDONIA,Ouvéa,Spearfishing,N,Tiger shark
NEW CALEDONIA,I'îot Maître,Swimming,Y,"Tiger shark, 4 m"
AUSTRALIA,Waterford West,Fishing,N,"Bull shark, 80cm"
USA,"Waiokapua Bay, Kaui",Surfing,N,Unknown
AUSTRALIA,Gleneg,Surf skiing ,N,Bronze whaler shark
USA,Ukumehama ,Kayaking,N,White shark
AUSTRALIA,"Melaleuca Beach, Cowaramup Bay, Gracetown, ",Swimming,N,Unknown
NEW ZEALAND,"Papamoa Beach, Bay of Plenty",Swimming,N,Juvenile shark
AUSTRALIA,Lake Macquarie,Swimming,N,
USA,Off Tampa Bay,Fishing,N,White shark
USA,Maui,Snorkeling,N,"8"" shark"
AUSTRALIA,Port MacDonnell,Snorkeling,Y,White shark
BRAZIL,Cacimba do Padre Beach,Surfing,N,Unknown
AUSTRALIA,Blackwall Reach,Swimming,N,"Bull shark, 6.5 to 10 '"
AUSTRALIA,13th Beach,Swimming,N,Unknown
ST KITTS / NEVIS,Booby Island,Swimming / Kayaking,N,Unknown
NEW ZEALAND,"Waihī  Beach, Bay of Plenty",Swimming,Y,Unknown
USA,"Cocoa Beach, Brevard  County",Surfing,N,Unknown
USA,"Cocoa Beach, Brevard  County",Surfing,N,Unknown
USA,"Anaehoomalu Bay
Waikoloa, Hawaii County",Swimming,N,Unknown
USA,"Coronado, San Diego County",Swimming,N,White shark
MALDIVES,Faadoo Island,Fell off fishing boat,N,Unknown
ST MARTIN,Orient Beach,Swimming,Y,Tiger shark
AUSTRALIA,Cable Beach,Surfing,N,Unknown
USA,Honolua Bay,Surfing,Y,"Tiger shark. 14'3"""
USA,"Seaside Cove, Clatsop County",Surfing,N,Unknown
AUSTRALIA,D’Estrees Bay near Kangaroo Island,Surfing,N,White shark
EGYPT,Marsa Alam,Scuba diving,N,Oceanic whitetip shark
USA,Maui,Snorkeling,N,Unknown
NEW CALEDONIA,St. Vincent Bay,Snorkeling,N,"Tiger shark, 4m"
AUSTRALIA,Cable Beach,Body boarding,Y,Bull shark
AUSTRALIA,"Town Beach, Port Macquarie",Surfing,N,Unknown
USA,Ormond Beach,Swimming,N,"Blacktip shark, 6' to 7'"
BAHAMAS,East End Point,Spearfishing,N,"""Reef shark"""
USA,St George Island,Surfing,N,Unknown
EGYPT,"Shark Reef, Ras Muhammed",Snorkeling,N,Unknown
AUSTRALIA,Britomart Reef,Spearfishing,N,Unknown
USA,"Emerald Isle, Carteret County",Surfing,N,Shark involvement not confirmed
AUSTRALIA,Kelp Beds Beach (Kelpies),Surfing,Y,4m shark
USA,"Miami Beach, Miami-Dade County",Body Surfing,N,Blacktip shark
AUSTRALIA,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,N,Bronze whaler 1.5m
USA,Near Key Largo,,N,Small nurse shark
USA,"Charley Young Beach, Maui",Swimming,N,Injuries not caused by a shark
USA,"Sombero Key Light, Monroe County",Snorkeling,N,Bull shark
AUSTRALIA,Fraser Island,Fishing,N,"""whitetip shark"""
AUSTRALIA,Cabarita Beach,Foil-boarding,N,White shark
