Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
AUSTRALIA,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,N,Unknown,-33.8601378,151.2069818
USA,Midnight Lump (38 miles offshore),Spearfishing,N,"Shortfin mako shark, 3 m to 3.4 m [10' to 11']",47.907588,-118.293692
ENGLAND,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,N,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks",52.3,-2.58333
NEW ZEALAND,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,N,Unknown,-46.44842,168.23009
AUSTRALIA,"Point Sinclair, Cactus Beach near Penong",Surfing,N,3 m [10'] shark,-31.93027,133.0107
REUNION,Saint Pierre,Canoe with 3 men onboard sank,Y,Unknown,-21.341298,55.4776174
THAILAND,Phang nga Island,Diving,Y,Unknown,15.5,101.0
BRAZIL,"Rio de Janeiro, Guanabara Bay",Spearfishing,N,Shark involvement not confirmed,-10.0,-55.0
USA,"Boynton Beach, Palm Beach County",Surfing,N,Unknown,26.5256179,-80.0666026
USA,"Big Island off Kona Village Resort, North Kona",Swimming,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",19.66667,-155.83333
USA,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),N,White shark,37.02161,-122.00979
MARSHALL ISLANDS,Island J4H,Swimming,N,"Grey reef shark, 1.2 m [4']",7.113,171.236
USA,"Gulfstream Park beach, Palm Beach County",Body surfing,N,Unknown,26.5047942,-80.0514305
USA,"Pet Den, Satellite Beach, Brevard County",Surfing,N,"Lemon shark, 2.7 m [9']",28.17612,-80.59005
USA,Old Kona Airport State Park,"Surfing, lying on surfboard",N,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",35.94498,-82.186929
USA,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore after surfing,N,Unknown,40.29867,-83.06797
ITALY,San Benedetto,Fishing,N,Said to involve a 7 m [23'] white shark,46.7876512,11.6911136
USA,"North of Pidgeon Point, San Mateo County",Kayaking,N,White shark,37.43621,-122.35566
USA,"Fort Pierce Inlet, St. Lucie County",Surfing,N,1.5 m to 1.8 m [5' to 6'] shark,27.4669594,-80.3048551
USA,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,N,0.9 m [3'] shark,44.19073,-72.491734
USA,"Fort Fisher, New Hanover County",Surfing,N,Unknown,33.9716531,-77.9177173
MARSHALL ISLANDS,Kwajalein Atoll,Fishing,N,7' shark,9.1257934,167.5740472
USA,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,N,1.8 m [6'] shark,33.6778079,-78.9034011
SOUTH AFRICA,Kogebaai,Surfing,N,"White shark, 3 m to 5 m [10' to 16.5']",-29.0,24.0
USA,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,N,"Bull shark, 2.1 m [7']",24.72097,-81.01868
USA,Honoli'i in Hilo (west side of Big Island),Surfing,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",19.72991,-155.09073
SOUTH AFRICA,Buffels Bay (near Knysna),Boogie boarding,Y,White shark,-33.56667,18.35
USA,Charleston,,N,Unknown,32.7884363,-79.9399309
USA,"Pensacola  Beach, Escambia County",Wading in school of baitfish,N,"Blacktip shark, 1.8 m [6']",30.3342348,-87.1350979
SOUTH AFRICA,"Cintsa East, East London",Surfing,N,"White shark, 4 m [13']",-32.994995,27.8324646
USA,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,N,1.2 m [4'] shark,39.48429,-86.024469
USA,"South of Ponce Inlet, Volusia County",Surfing,N,3' to 4' shark,29.09637,-80.937
USA,"Atlantiic Beach, Duval County",Swimming,N,Unknown,30.33544,-81.64801
USA,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,N,Blacktip or spinner shark,26.441999,-80.0613911
AUSTRALIA,"Hardwicke Bay, Yorke Peninsula",Windsurfing,Y,Thought to involve a white shark,-34.8918753,137.4594652
MAURITIUS,Pointe aux Canonniers,Swimming,N,"Grey reef shark, 1.5 m",-20.003945,57.5555128
REUNION,Roche-aux-Oiseaux,Swimming after being swept into sea by a large wave,Y,3 bull sharks,-21.10084,55.60344
USA,"Hobe Sound Beach, Palm Beach County",Surfing,N,Unknown,26.64757,-80.43651
NEW ZEALAND,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,N,"Sevengill shark, 2.4 m [8']",-47.0,167.83333
BRAZIL,Atol das Rochas,Scientific research (Dr. Sonny Gruber's student),N,Unknown,-23.6174708,-46.9548382
USA,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",Y,Unknown,36.74432,-94.529129
NEW CALEDONIA,Ouvea,Spearfishing,N,200 to 300 kg shark,-20.5490007,166.5673946
USA,"Kealia Beach, Kaua'i",Body surfing or body boarding,N,Unknown,20.924507,-156.369699
USA,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,N,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,47.086971,-119.215041
USA,Frying Pan Shoals,Cruising,N,Basking shark,33.80101,-77.94693
AUSTRALIA,Scotts Head,Surfing,N,Bronze whaler or tiger shark,-30.7460493,152.9963024
MAURITIUS,Belle-Mare,Spearfishing,N,Bull shark,-20.1983407,57.774734
SOUTH AFRICA,Bonza Beach,Paddle Skiing,N,"White shark, 4 m [13']",-29.0,24.0
NEW ZEALAND,"Papamoa, near Tauranga, Bay of Plenty",Inflatable boat,N,Unknown,-37.68611,176.16667
AUSTRALIA,Gulf of Carpenteria,Fishing,N,Shark involvement not confirmed,-25.0,135.0
REUNION,Pointe au Sel,Spearfishing,Y,Bull shark,-21.2027776,55.2808321
SOUTH AFRICA,"Hospital Rock, Dyers Island",Spearfishing,N,"White shark, 4.6 m [15']",-34.33839,18.43931
USA,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,N,Shark involvement not confirmed,38.2029,-75.69243
AUSTRALIA,Middleton Beach,Standing,N,Unknown,-35.0234762,117.9116782
SOUTH AFRICA,"King's Beach, Port Elizabeth",Surfing,N,Possibly a white shark,-33.9689628,25.6456389
USA,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,Y,Tiger shark,27.63864,-80.39727
USA,"South Beach Park, Indian River County",Walking,N,"A ""small shark""",27.6327489,-80.3521937
JAPAN,460 miles off Iwakuni,Fishing for tuna,N,6' shark,34.16297,132.22
BRAZIL," Boa Viagem Beach, Recife",Surfing,Y,Though to involve a white shark,-8.05389,-34.88111
USA,"Jupiter Beach, Palm Beach County",Swimming,N,Unknown,26.9411913,-80.0724142
SOUTH AFRICA,Glengariff,Surfing,N,Unknown,-32.8938889,28.0888889
USA,"Sebastian Inlet, Indian River County",Surfing,N,Unknown,27.8603,-80.44727
USA,"The Rocks, Hutchinson Island, Martin County",Surfing,N,Unknown,27.08157,-80.39851
SOUTH AFRICA,Kowie River,Fishing / washing bait off hands,N,Unknown,-33.4796658,26.7354883
SENEGAL,Yoff Island,Spearfishing,N,1.5 m shark,14.5,-14.25
ITALY,12 miles off Senigallia (Adriatic Sea),Fishing,N,Invalid,43.71626,13.20882
USA,Virginia Beach,Spearfishing,N,"Dusky shark, 12'",36.8496579,-75.9760751
BAHAMAS,Ambergris Cay,Spearfishing,N,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5']",25.6655547,-77.8345081
SOUTH AFRICA,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net ,N,"Sandtiger shark, 2 m, male",-25.74486,28.18783
SOUTH AFRICA,"Buffalo Bay, near Knysna",Surfing (or body boarding),N,"White shark, 4 m [13']",-34.03627,23.04713
SOUTH AFRICA,Pringle Bay,Spearfishing,N,"White shark, 4.9 m [16']",-34.349859,18.833741
AUSTRALIA,South Neptune Island,Free diving for abalone,Y,Thought to involve a 5.5 m white shark named Kong,-25.0,135.0
SOUTH AFRICA,"Gonubie, 13 km northeast of East London",Body Boarding,Y,White shark,-33.01529,27.91162
SOUTH AFRICA,Pollock Beach,Surfing,N,Unknown,-33.9867144,25.6730178
SOUTH AFRICA,Sardinia Bay near Port Elizabeth,Body boarding,N,3 m to 4 m [10' to 13'] white shark,-33.91799,25.57007
SOUTH AFRICA,Jeffreys Bay,Body boarding,N,Unidentified,-34.051111,24.922222
USA,"Pecks Lake, Martin County",Swimming,N,"1.8 m [6'] shark, possibly a blacktip",27.08157,-80.39851
USA,"Walden Rocks, St. Lucie County",Swimming / surfing,N,Unknown,27.38081,-80.44554
SOUTH AFRICA,Keurbooms,Body boarding,N,4 m [13'] white shark,-33.8705453,23.2329261
MOZAMBIQUE,"Bilene Bay, 180 km north of Maputo",Towing rubber dinghy,Y,3 m [10'] shark,-25.96553,32.58322
USA,Gleneden Beach,Surfing (lying prone on his board),N,5 m [16.5'] white shark,44.8789911,-124.0346728
NEW CALEDONIA,Île de Sable,,N,Unknown,-20.9,165.35
USA,"Jensen Beach Park, Martin County",Swimming,N,Unknown,27.08157,-80.39851
SOUTH AFRICA,Saldanha Bay,Snorkeling – hunting crayfish and abalone,N,3 m [10'] white shark,-33.0347222,18.0097222
USA,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming or paddle boarding,N,5' spinner shark,26.8836196,-80.0553014
AUSTRALIA,Whale Beach,Spearfishing,N,Shark involvement not confirmed,-33.6096795,151.3309449
NEW CALEDONIA,l'Anse-Vata,Windsurfing,N,1.7 m shark,-22.3039898,166.4464512
SOUTH AFRICA,Hole-in-the Wall,Surfing,Y,Unknown,-32.0313889,29.1138889
SOUTH AFRICA,"Pringle Bay, 44 miles southeast of Cape Town",Spearfishing,Y,White shark,-33.92584,18.42322
USA,"Hollywood Beach, Broward County",Swimming,N,Unknown,26.0281452,-80.1142111
AUSTRALIA,Botany Bay?,Unknown,N,Shark involvement prior to death suspected but not confirmed,-33.9815082,151.1796169
USA,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,N,"Tiger shark, 4 m to 4.3 m [13' to 14']",41.242981,-85.843513
USA,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,N,Possibly a blacktip shark,27.48282,-80.30533
SOUTH AFRICA,Off Port Alfred,Fishingat,N,Soupfin shark,-33.59057,26.89104
USA,Volusia County  ,Surfing,N,Unknown,29.0533409,-81.1310761
USA,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),N,5 m [16.5'] white shark,40.80207,-124.16367
MEXICO,"Santa Rosa, Cozumel",SCUBA diving,N,Shark involvement prior to death was not confirmed,20.501,-86.94598
EGYPT,Safaga,Fishing,N,Unknown,26.7633325,33.9383817
USA,"East Beach, Galveston",Wading,N,1 m shark,29.3232868,-94.7403415
USA,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,N,1.5 m [5'] shark,25.08652,-80.44728
AUSTRALIA,"Pincushion, north of Maroochydore Beach",Surfing,N,Unknown,-26.65785,153.10439
SOUTH AFRICA,"Breezy Point, Ntlonyana",Surfing,Y,4.5 m white shark,-32.07043,28.81335
OKINAWA,Hirara,Fishing for octopus,Y,White shark,24.8032045,125.3029776
BRAZIL,Paiva,Surfing,N,Unknown,-21.289441,-43.4175347
USA,"Sunset Beach, Oahu",Spearfishing / night diving,N,2.4 m [8'] shark,41.972088,-116.114756
FIJI,Off a small island 5 km from Garden Island Resort,Snorkeling,N,"Tiger shark, 2.7m  [9']",-18.0,178.0
USA, Palm Beach County,Surfing,N,Possibly a spinner shark,26.6279798,-80.4494174
BRAZIL,"Copacabana, Rio de Janeiro",Bathing,UNKNOWN,Unknown,-22.971974,-43.1842997
USA,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",N,1.2 m [4'] shark (spinner shark?),29.1760933,-80.9828323
USA,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,N,4' shark,28.51555,-82.57288
BAHAMAS,Powell Cay,Spearfishing,N,Possibly a Caribbean reef shark,26.9033808,-77.4784222
BRAZIL,"Manguinhos, Ilha Feia, Búzios",Windsurfing,N,3.7m  to 4.2 m white shark,-22.74694,-41.88167
AUSTRALIA,"Carrara, Nerang River",Swimming,N,a small shark,-27.9964622,153.3341711
AUSTRALIA,Whitsunday Passage,Scuba diving,N,"Tiger shark, 2m to 3m",-20.2534219,148.8755719
USA,"Sunset Beach, O'ahu",,UNKNOWN,Unknown,41.972088,-116.114756
AUSTRALIA,"Iron Cove, Sydney",Rowing ,N,Unknown,-33.8589951,151.1623207
AUSTRALIA,"Whitehaven Beach, Whitsundays Island",Snorkeling,N,1.8 m to 2.1 m [6' to 7'] shark,-25.0,135.0
AUSTRALIA,Geraldton,Windsurfing,Y,"Tiger shark, 4.5 m [14'9""]",-28.77035,114.6147159
REUNION,la Pointe-au-Sel,Spearfishing,Y,Bull shark,-21.2047363,55.289189
AUSTRALIA,"Seal Rocks, Phillip Island",Watching seals,N,White shark,-38.48349,145.23102
AUSTRALIA,Coolum Beach,Surfing,UNKNOWN,Unknown,-26.53284,153.0697206
SOUTH AFRICA,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,N,White shark,-33.91799,25.57007
NEW CALEDONIA,L'llot Maetre,Attempting to attract dolphins,N,Unknown,-21.5,165.5
USA,"Coral Cove Park, Palm Beach County",Surfing,N,Unknown,26.9605829,-80.0781245
BRAZIL,Barra de Jangada,Surfing,N,Unknown,-8.2166117,-34.9319705
OKINAWA,Boragawa Beach,Swimming or snorkeling,Y,Unknown,24.7297332,125.4320425
NEW ZEALAND,Waihere Bay,Diving for abalone,N,White shark,-44.2668371,-176.241628
USA,"Behune Beach, Volusia County",Standing,N,Unknown,29.06345,-81.14857
USA,"Garden City Beach, Horry County",Boogie boarding,N,Shark involvement not confirmed,33.5863905,-79.0120628
SOUTH AFRICA,Hibberdene,Spearfishing,N,White shark,-30.5719444,30.5736111
USA,"Paukukalo, Maui",Body Boarding,N,"Tiger shark, 2.4 m [8']",20.909022,-156.4904386
USA,"Bird Rock, Tomales Point",Free diving for abalone,N,6 m [20'] white shark,38.2327,-122.9875
USA,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,N,1.8 m to 2.1 m [6' to 7'] hammerhead shark,27.38771,-82.60547
USA,"Wiggins Pass, Collier County",Standing,N,Unknown,26.2889998,-81.830606
OKINAWA,Hirara City,Swimming,Y,5 m [16.5'] white shark,24.798824,125.286909
EGYPT / ISRAEL,"1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,N,said to involve an oceanic whitetip shark,27.73251,34.25903
USA,"Truro (Cape Cod), Barnstable County",Swimming,N,6' shark,41.993437,-70.0497457
USA,"Nakalele Point, Maui",,UNKNOWN,Unknown,21.0306924,-156.588318
USA,"Public Beach, Siesta Key, Sarasota County",Standing,N,5' to 6' shark,27.2745231,-82.5676594
AUSTRALIA,"Suicide Point, Point Leo",Surfing,N,4 m white shark,-38.4187149,145.0762108
SOUTH AFRICA,LaMercy,Surfing,N,Unknown,-29.0,24.0
SOUTH AFRICA,"The Steps, Wilderness",Surfing,N,2.5 m [8.25'] white shark,-33.99385,22.57574
AUSTRALIA,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving ,Y,Shark involvement prior to death suspected but not confirmed,-33.8809952,151.2723179
USA,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,N,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,29.09637,-80.937
AUSTRALIA,Mona Vale,Swimming,N,Wobbegong shark,-33.6769931,151.3029577
AUSTRALIA,Lord Howe Island,Fishing in knee-deep water,N,1.5 m [5'] shark,-31.5540166,159.0856256
AUSTRALIA,"Charles Street Wharf, Parramatta River",Dived naked into the water on a bet,N,Bronze whaler shark,-33.8156425,151.0090527
USA,St. Louis,Swimming in fish tank,N,nurse shark,38.6280278,-90.1910154
PAPUA NEW GUINEA,Madang,,Y,Unknown,-5.0,145.5
DOMINICAN REPUBLIC,Boeing 757 enroute from Porta Plata,Boeing 757 enroute from Porta Plata plunged into the sea,Y,Unknown,19.0,-70.66667
AUSTRALIA,"Ned's Beach, Lord Howe Island",Swimming,N,"""reef shark""",-31.55938,159.08581
AUSTRALIA,"Brown's Inlet, Broadwater",Swimming,N,Bronze whaler shark,-37.045103,149.9015433
USA,"Ka’eleki’I Point, Maui",Swimming with mask & snorkel,N,Possibly a tiger shark,20.99344,-156.66909
AUSTRALIA,"Mutton Bird Island, Albany",,UNKNOWN,Unknown,-35.0516267,117.6972809
AUSTRALIA,Eight-mile reef off Port Kembla,Chumming for sharks,N,"Mako shark, 4.3 m [14']",-34.471491,150.8914816
REUNION,Embouchure de l'étang de Saint Paul,Surfing,Y,"Tiger shark, 300-kg [662-lb]",-21.00963,55.27071
USA,Southwest of O'ahu,,UNKNOWN,Unknown,43.447412,-76.507369
USA,"Ha'ena, Kaua'i",,N,Shark involvement not confirmed,20.915583,-156.382452
AUSTRALIA,Great Keppel Island,,N,Unknown,-23.1733916,150.9570812
USA,"North Beach, St. Lucie County",Surfing,N,Unknown,27.374615,-80.251077
AUSTRALIA,"Pialba, Hervey Bay",Playing / standing,N,4 m shark,-25.2833769,152.8379415
USA,"Crescent Beach, St. Augustine, St. Johns County",Surfing,N,1.5 to 1.8 m [5' to 6'] shark,29.7784991,-81.2577953
USA,"North Beach, Hutchinson Island, St. Lucie County",Surfing,N,Unknown,27.29616,-80.21616
USA,"Matanzas Bay Inlet, St. Johns County",Surfing,N,1.8 m [6'] shark,29.91218,-81.40989
USA,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,Y,3 m to 3.7 m [10' to 12'] bull shark,24.9243,-80.62784
AUSTRALIA,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),Y,White shark,-33.95057,120.12635
USA,"North Beach Inlet, St. Lucie County",Surfing,N,1.2 m to 1.5 m [4' to 5'] shark,27.38081,-80.44554
USA,"Crescent Beach, St. Johns County",Surfing,N,5' shark,29.738289,-81.2423048
USA,"Ponce de Leon Inlet, Volusia County",Surfing,N,"""a small shark""",40.29867,-83.06797
USA,Cape Lookout Bight,Diving,N,Two 1.2 m to 1.5 m [4' to 5'] sharks,34.61739,-76.53465
TONGA,Near Tapana Island,Fishing,N,"""small shark""",-18.71432,-173.99298
USA,"Ocean Lakes Campground, south of Myrtle Beach, Horry County","""Riding waves on a board""",N,Blacktip shark,33.68906,-78.88669
TONGA,Neiafu,Fishing,N,Invalid,-18.6515538,-173.9833124
USA,"Carmel, Monterey County",Diving,N,Invalid,36.5552656,-121.923278
SOUTH AFRICA,Gonubie River Mouth,Surfing,N,Unknown,-29.0,24.0
USA,Port Aransas,Surfing,N,Unknown,27.8332175,-97.0618324
USA,"Cat Island, Harrison County",Fishing,N,Blacktip shark,30.2270826,-89.1111419
USA,"Off 29th Avenue, Myrtle Beach, Horry County",Jumped off surfboard & landed on the shark,N,Unknown,33.68906,-78.88669
USA,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),N,6 m [20'] white shark,36.23977,-121.3089
USA,"LaJolla Shores, San Diego County",Kayaking,N,White shark (tooth fragment recovered),33.0282,-116.77021
USA,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,N,"Tiger shark, 3.7 m [12']",20.68973,-156.4419
HONG KONG,First Beach,Swimming,Y,Though to involve a tiger shark,22.28552,114.15769
HONG KONG,Sheung Sze Wan Beach,Swimming,Y,1.8 m to 2.1 m [6' to 7'] shark,22.3071344,114.2905932
HONG KONG,Sai Kung Beach,Diving,Y,Unknown,22.28552,114.15769
FIJI,Waya Island,Sleeping in anchored boat,Y,3.7 m [12'] shark,-17.2909471,177.1257858
AUSTRALIA,"Bernier Island, Shark Bay",,UNKNOWN,Unknown,-25.9247,113.53642
SOUTH KOREA,Jangkodo Island,Diving for abalone,Y,4 m shark,36.5,127.75
AUSTRALIA,"Honeysuckle Point, Eden",Diving,N,Wobbegong shark,-25.5379791,152.7614821
JAPAN,Atsumi Peninsula,Scuba diving for bivalves,Y,6 m [20'] white shark,34.65919,137.24155
AUSTRALIA,"Clark Island, Sydney Harbour",Surf skiing,N,Unknown,-33.8627811,151.2412498
AUSTRALIA,Cactus Beach,Surfing,N,"Bronze whaler shark, 2 m",-32.08861,132.98333
BRAZIL,"Praia do Olho D'Água, São Luis",Swimming,Y,Unknown,-2.4787884,-44.2274717
SOUTH AFRICA,Kidd’s Beach,Swimming,N,Raggedtooth shark,-33.1482225,27.7018952
AUSTRALIA,Gladstone Reef,Snorkeling,N,Leopard shark,-24.0065934,151.2005124
USA,Carolina Beach,Scuba diving,N,Invalid,34.0351727,-77.8935966
USA,"Kinikini, Mana, Kaua'i","Surfing, sitting on board",N,Unknown,32.732163,-101.951488
VANUATU,Aniwa Island,,UNKNOWN,Unknown,-19.24049,169.60402
USA,1200 miles east of New Jersey,,Y,Unknown,47.907588,-118.293692
AUSTRALIA,"Hinchinbrook Channel, Queensland",Murder victim,N,Invalid,-18.38333,146.16667
USA,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),Y,5 m to 5.5 m [16.5' to 18'] white shark,34.0452025,-120.37953
USA,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",N,2.7 m [9'] shark,20.927488,-156.366755
USA,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,N,Thought to involve a small sand shark,25.60897,-80.49867
USA,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,N,Unknown,32.21632,-80.75261
USA,"Short Sand Beach, Oswald West State Park",Surfing,N,5 m [16.5'] white shark,39.029548,-86.946259
USA,Florida Straits,Adrift on refugee raft,Y,Unknown,28.2821829,-81.6422786
JAPAN,Tatsugo-cho,,N,Unknown,28.41009,129.58038
REUNION,Barachois,Windsurfing,Y,3 to 3.5 m [10' to 11.5'] bull shark,-20.8744327,55.4465625
USA," Daytona Beach, Volusia County",Surfing,N,1.2 m [4'] spinner shark,29.2108147,-81.0228331
USA,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,N,2.1 m [7'] shark,30.29469,-81.39314
USA,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,N,1.2 m [4'] shark,28.0474995,-80.5475474
USA,"Sunset Cliffs, San Diego, San Diego County",,N,Invalid,32.7305,-117.2532
REUNION,Lieu-dit Cayenne,,Y,"3 m [10'], 200-kg [441-lb] bull shark",-21.10084,55.60344
BAHAMAS,Rum Cay,Wading,N,2' to 3' shark,23.8263065,-74.9326829
USA,"Miami Beach, Dade County",Freediving for seashells,N,Unknown,25.7929198,-80.1353006
SOUTH AFRICA,Arniston,Spearfishing,Y,4.9 m white shark,-34.668056,20.231111
CHILE,300 miles east of Easter Island,Swimming alongside NOAA research vessel Discoverer,N,"3.6 m [11'9""] white shark",-27.11667,-109.36667
CHILE,300 miles East of Easter Island,Swimming alongside NOAA research vessel Discoverer,N,"3.6 m [11'9""] white shark",-27.11667,-109.36667
SOUTH AFRICA,Saxon Reef,Spearfishing,N,3 m [10'] shark,-34.7,20.25
USA,Kailua Bay,Fishing,N,Unknown,19.6388995,-155.995617
SOUTH AFRICA,Beachview Holiday Resort,Surfing,N,3 m [10'] white shark,-33.9973476,25.3185305
NEW CALEDONIA,Cap Goulvain,Fishing,Y,Unknown,-21.55,165.26667
USA,"Velzyland, north shore of O'ahu",Surfing,Y,Tiger shark,40.138002,-79.898894
AUSTRALIA,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",N,1.5 m shark,-27.4,153.15
USA,Waipo,Surfing,Y,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved",22.1042665,-159.6614927
USA,"North Beach Jetty, St Lucie County",Swimming,N,Unknown,27.38081,-80.44554
AUSTRALIA, A pearl  farm in Roebuck Bay,Hookah diving,Y,Tiger shark caught 6 days later with diver’s remains in its gut,-18.08584,122.283
USA,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",N,Unknown,20.925084,-156.36912
SOMALIA,Mogadishu,Stamding,Y,Unknown,2.0349312,45.3419183
USA,"""Bunkers"" Eureka, Humboldt County",Surfing,N,4 m to 5 m [13' to 16.5'] white shark,40.80207,-124.16367
USA,"Treasure Shores Beach, Indian River County",Swimming,N,3 m [10'] bull shark,27.69639,-80.57409
USA,"Goat Rock, Bodega Bay, Sonoma County?",Kayaking,N,>6 m [20'] white shark,38.33325,-123.04806
USA,"Mouth of Wallua River, Kaua'i",Surfing,N,Tiger shark,20.925084,-156.36912
SOUTH AFRICA,Danger Point,Spearfishing,N,3 m [10'] white shark,-34.6304138,19.3024855
EL SALVADOR,El Cocal Beach,Surfing,Y,Unknown,13.83333,-88.91667
USA,"Huguenot Memorial Park, Duval County",Wading,N,3' shark,30.4122285,-81.4065146
USA,"Little Talbot Island, Jacksonville, Duval County",,N,Unknown,30.4709227,-81.4182738
SPAIN,"Playa de las Arenas, Valencia ",Swimming,N,1.2 m [4'] shark,39.4688989,-0.3227605
BAHAMAS,"Matinella Reef, 15 to 20 miles west of Walkers Cay",Spearfishing,N,1.8 m [6'] blacktip shark or Caribbean reef shark,27.26112,-78.40264
USA,Between Santa Cruz Island and Santa Barbara,Watching the shark feeding on a dead pinniped,N,">6 m white shark, according to witnesses",34.42083,-119.69819
USA,Pamlico Sound,Riding floatation device,N,Bull shark,35.3502471,-75.8271547
AUSTRALIA,Off Rottnest Island,Fishing,N,6 m [20'] white shark,-31.9882611,115.5540867
USA,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),N,5.5 m to 6 m [18' to 20']  white shark,39.69932,-123.80169
NEW CALEDONIA,Ile Moro,Fishing for lobsters,Y,Unknown,-22.119441,166.1620932
EL SALVADOR,La Libertad,Oyster fishing,Y,White shark?,13.7449622,-89.3610819
SOUTH AFRICA,"Pollock Beach, Port Elizabeth",Surfing,N,4 m [13'] white shark,-33.9867144,25.6730178
REUNION,Cap de la Marianne,Body boarding,N,Unknown,-20.88333,55.6
HONG KONG,Silverstrand,Swimming,Y,Unknown,22.3235148,114.2716875
MEXICO,"Santa Rosa Shallows, Cozumel",Scuba diving,Y,Unknown,20.501,-86.94598
AUSTRALIA,Tenth Island (King Island),Scuba diving at seal colony,Y,5 m [16.5'] white shark,-40.94,146.98
HONG KONG,Sheung Sz Wan,Swimming,Y,Unknown,22.30541,114.29062
USA,"Hamstead, Pender County",Swimming,N,6' shark,34.51494,-77.88887
SOMALIA,"Arroyo Beach, Mogadishu",Swimming,Y,Unknown,2.03711,45.34375
AUSTRALIA,Barren Joey Island,Spearfishing,N,Invalid,-25.0,135.0
USA,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,N,Unknown,26.7850625,-80.0375408
JAPAN,Iyo,,N,Possiby white shark,33.7578962,132.7039458
USA,"Paradise Bay (next to Wailua Bay), Maui",Paddling on surfboard,N,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",20.86774,-156.61706
USA,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),N,White shark,37.43621,-122.35566
NEW CALEDONIA,Île de Casey,Swimming,N,Unknown,-21.5,165.5
TONGA,Between 'Ata and Tongapatu,Sea disaster,N,Unknown,-20.0,-175.0
AUSTRALIA,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,N,1.5 m shark,-20.2583541,148.8123771
CARIBBEAN SEA,Off Dominican Republic,   ,N,Two 3 m [10'] oceanic whitetip sharks,15.00028,-75.00028
USA,"Bastendorf Beach, Coos County",Surfing,N,6 m [20'] white shark,43.3472071,-124.3440941
TONGA,Between Ofu & Fafini Islands,Spearfishing,N,Unknown,35.0,136.96667
USA,"Key West, Monroe County",Snorkeling,N,Lemon shark,24.5548262,-81.8020722
