Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
USA,"Jensen Beach, Martin County",Swimming,N,Unknown,27.2208962,-80.2556773
USA,"Salmon Creek Beach, Sonoma County",Surfing,N,Unknown,38.52529,-122.92254
EGYPT,Sidi Abdel Rahmen ,Swimming,N,No shark invovlement,27.0,30.0
AUSTRALIA,Emerald Beach,Surfing,Y,White xhark,-30.1694411,153.1880565
USA,off Grand Isle,"Fishing, fell in water",N,Unknown,29.23662,-89.98729
USA,"Galveston Island, Galveston County",Boogie boarding,N,Unknown,29.2221833,-94.90881
USA,"Walton Beach Psrk, St. Lucie County",Surfing,N,Bull shark,27.38081,-80.44554
CANADA,Cape Breton Island,Swimming,N,Unknown,46.2950327,-60.9360554
AUSTRALIA,North Stradbroke Island  ,Harassing sharks,N,Unknown,-27.5647329,153.4487382
USA,"Hilton Head Island, Beaufort County",,N,Blacktip shark,32.1618488,-80.7512616
USA,"Ocean City, Worcester County",Swimming,N,Blacktip shark,38.3348728,-75.0847659
USA,Wrightsville Beach,Standing,N,Unknown,34.2079917,-77.7955907
USA,"Tybee Island, Chatham County",Surfing,N,small blacktip shark,31.9987321,-80.8469427
AUSTRALIA,Varanus Island,Fishing,N,"Sickelfin lemon shark, 3m",-20.6513877,115.5786187
BRAZIL,Piedade,Squatting in the water,N,Unknown,-22.8926665,-43.3110001
THAILAND,Kung Krabaenbay Royal Département Study Center ,Moving captive shark,N,"Bull shark, +100kg",15.5,101.0
USA,"Capitola Beach, Santa Cruz County",Surfing,N,Unknown,36.971398,-121.9516469
USA,"Near Patrick AFB, Brevard County",,N,Unknown,28.23809,-80.6079
AUSTRALIA,Rottnest Island,Surfing,N,"White shark, 3m",-32.0070095,115.5205271
SOUTH AFRICA,Jeffrey's Bay,Surfing,N,Unknown,-34.0511596,24.9193903
USA,"46 miles off Mayport, Duval County",Spearfishing,Y,Unknown,30.3933,-81.43064
AUSTRALIA,Crescent Head,Surfing,N,"White shark, 3m",-31.19,152.9761111
USA,"Catalina Island, Orange County",Canoeing,N,Unknown,33.67691,-117.77617
USA,"Block Houe Beach, Brevard County",Surfing,NQ,Unknown,28.30031,-80.70121
USA,"Ocean Isle, Brunswick County",Swimming,N,Unknown,34.03897,-78.22728
USA,"Gray Whale Beach Cove State Beach, San Mateo County",Swimming,N,"White shark, 6' to 8'",37.43621,-122.35566
AUSTRALIA,Gum Tree Bay,Surfing,N,Unknown,-29.7826764,114.96205
USA,"Bethune Beach, Volusia County",Standing,N,Unknown,28.9491539,-80.83783
USA,"Grayton Beach State Park,   Walton County",Swimming,N,7' to 8' shark,30.32492,-86.15411
ENGLAND,Littlehampton,Fishing,N,"Tope shark, 6'",50.8095801,-0.5424424
AUSTRALIA,Five Fingers Reef,Snorkeling,N,"Bronze whaler shark, 2 m",-23.1788675,113.7645221
NEW CALEDONIA,CHS Beach,Spearfishing,Y,Unknown,-21.5,165.5
USA,"Burkes Beach, Hilton Head, Beaufort County",Swimming,N,5' shark,32.1933234,-80.6949215
AUSTRALIA,Quondong Beach,Spearfishing,N,Unknown,-35.2963887,138.4473536
AUSTRALIA,Turncurry Beach,Surfing,Y,"White shark, 4.5 m",-33.27443,151.54614
USA,"Kanaha Beach Park, Maui",Kite Foiling,N,5 to 8-ff tiger shark,20.9004973,-156.4387771
USA,"Marine Corps Base, Oahu",Surfing,N,5.5 ft shark,38.882352,-105.937359
JAMAICA,"Little Bay, Little London",Spearfishing,Y,Unknown,18.2483,-78.21641
USA,"Vero Beach, Indian River County",Boggie boarding,N,Unknown,27.6387163,-80.3975399
FRENCH POLYNESIA,Tautira,Canoeing,N,Unknown,-17.809661,-149.1712115
NEW CALEDONIA,Nouville,Stand Up Paddleboarding,Y,Unknown,-22.2649896,166.4019017
USA,Kukio Bay,Swimming,N,Tiger shark,19.8241667,-156.001666
AUSTRALIA,Karratha,,N,Unknown,-20.7370067,116.8478592
USA,Outer Banks,Tagging sharks,N,"Mako shark, 4 juvenile",35.5669037,-75.4688367
